statbook.pdf,bacaa10b4ec83a0509132091bb79243b41b6.pdf,trb10a.pdf,text-est2.pdf,CMU-ML-06-108.pdf,Optimization+Modeling+with+LINGO.pdf,ESLII.pdf,machinelearning.pdf,Learning Bayesian Networks - Neapolitan R. E..pdf,brms_talk_26.02.16.pdf,R.pdf,b137866.pdf,answers.pdf,NumericalOptimization.pdf,mastny.pdf,Nonsmooth-Invexities-Invariant-Monotonicities-and-Nonsmooth-Vector-Variational-Like-Inequalities-with-Applications-to-Vector-Optimization.pdf,20070809140015001-150844.pdf,978-3-642-13694-8.pdf,978-3-319-65304-4.pdf,978-3-642-02886-1.pdf,M3S2.pdf,978-3-662-56039-6.pdf,Kernel.pdf,Online_Statistics_Education.pdf,JacodProtter.pdf,XML.pdf,schulman15.pdf,statistics_firstfive.pdf,smola.pdf,DIVE.pdf,IntroductionofStatistics.pdf,Scahpiro.pdf,50YearsDataScience.pdf
8,0,2,3,0,11,105,0,62,1,83,118,6,37,7,0,4,73,198,0,18,1,1,15,0,7,1,0,1,1,1,0,0
4,0,1,3,0,0,11,0,0,0,0,1,0,0,0,0,1,8,31,0,0,0,0,0,2,3,0,0,6,0,0,0,0
0,0,1,1,0,0,4,0,16,0,1,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,2,1,0,0,2
20,0,0,0,0,0,5,0,0,0,4,0,0,8,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,10,0,1,25,0,138,0,5,24,3,1,2,0,0,10,186,0,6,1,4,33,2,0,0,5,2,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0,0,0,0,1,0,59,0,6,0,0,0,93,0,12,0,0,0,0,4,0,1,0,0,0,0
181,0,8,3,5,7,138,0,78,0,69,316,5,318,12,53,3,225,101,236,18,81,5,2,358,11,4,0,14,0,2,0,0
0,0,0,0,0,0,25,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,15,0,0,0,9,6,1,1,0,0,0,5,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
1,2,2,1,8,0,24,21,8,0,17,0,0,0,0,0,2,0,14,0,0,0,1,0,0,4,1,0,3,0,0,7,2
6,1,1,0,0,8,21,0,26,0,24,21,3,69,4,1,0,23,19,30,5,49,0,2,29,0,0,3,1,0,0,1,0
6,0,2,0,0,4,71,0,1,0,65,6,0,79,2,3,0,16,14,17,9,22,0,1,1,1,0,0,0,0,0,0,1
42,0,0,1,0,0,9,0,18,0,5,13,1,1,0,0,0,18,6,1,9,6,0,3,15,0,0,2,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,0,2,0,0,0,50,0,1,2,78,0,0,3,0,0,0,0,27,0,2,0,0,14,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,14,0,2,0,1,6,0,16,0,0,0,4,26,18,0,3,0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,8,0,25,0,5,1,0,3,0,4,0,3,9,6,0,45,0,0,17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,0,1,0,5,60,0,3,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,3,4,0,0,0,1,1,0,62,1,1,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,1,44,0,0,0,35,0,0,0,0,0,1,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,0
67,0,0,1,0,1,27,0,11,0,58,0,0,9,0,0,2,6,3,1,5,64,0,16,8,1,0,0,4,0,1,1,0
2,0,0,7,0,0,12,0,0,0,0,0,0,2,0,0,0,0,16,0,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,1,1,15,2,2,0,10,3,0,42,3,0,1,29,9,0,0,0,0,0,0,1,3,0,0,0,0,0,2
2,0,0,0,0,1,23,0,0,0,6,0,0,2,1,0,0,0,1,0,1,8,0,1,3,0,0,0,0,0,0,0,0
3,0,1,1,0,1,16,0,15,0,1,2,0,5,0,0,0,1,1,7,0,345,1,1,0,0,0,0,0,1,0,0,0
67,0,7,5,1,8,85,10,80,4,58,1,1,6,2,1,3,5,80,0,8,2,0,10,1,5,0,0,31,2,10,0,27
